Model,Mean Bias,Mean Absolute Bias,Standard Deviation of Bias
TaiESM1,3.758312092,3.760624503,0.671977658
CESM2,-0.248493282,0.543308289,0.678250094
HadGEM3-GC31-LL,-0.3292351,0.573435192,0.678541158
CESM2-WACCM,-0.304745377,0.578832737,0.683431974
CMCC-CM2-SR5,3.657141945,3.659517375,0.686315603
UKESM1-0-LL,-0.389089829,0.621945691,0.687272749
KACE-1-0-G,-0.404090905,0.634169663,0.690636718
EC-Earth3,-0.649191978,0.805901422,0.691120457
MPI-ESM1-2-LR,-0.666111169,0.817718559,0.692094851
EC-Earth3-Veg-LR,-0.652465233,0.811293589,0.696097277
GFDL-ESM4 ,-0.588452935,0.763698576,0.696108926
NESM3,-0.667355929,0.825206526,0.696647738
ACCESS-ESM1-5,-0.72879385,0.872564732,0.700671633
ACCESS-CM2,-0.645585443,0.810027547,0.700829846
GISS-E2-1-G,-0.620404248,0.785609867,0.700903484
NorESM2-MM,-0.638227469,0.803415481,0.701601869
NorESM2-LM,-0.635410802,0.801423744,0.701631057
CNRM-ESM2-1,-0.741538683,0.885860588,0.702061606
BCC-CSM2-MR,-0.603449493,0.777978721,0.702377084
MIROC-ES2L,-0.619523505,0.791139832,0.703052618
MIROC6,-0.63581253,0.804596363,0.703181971
MRI-ESM2-0,-0.566136201,0.750126525,0.703727753
INM-CM5-0,-0.618512854,0.79099436,0.703760857
IPSL-CM6A-LR,-0.766730218,0.904029703,0.703929151
CanESM5,-0.700941442,0.85390064,0.704507297
CNRM-CM6-1,-0.791074505,0.923077505,0.705828873
CMCC-ESM2,-0.720566269,0.869301726,0.706271534
FGOALS-g3,-0.744591441,0.890547997,0.708811516
INM-CM4-8,-0.684948164,0.848082722,0.712063491
MPI-ESM1-2-HR,-0.788982776,0.927420488,0.713200559
KIOST-ESM,-0.702734572,0.858960703,0.716908071
GFDL-CM4,-0.637669431,0.809685197,0.724250459
